Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL
Parachute Advansed Rosemary-enriched Coconut Hair,Oil| Rosemary Hair Oil| Superfoods Magic| Long & Thick Hair|300 Ml,160,4.2 out of 5 stars,"2,174",N/A,https://m.media-amazon.com/images/I/61jZRULdVuL._AC_UL320_.jpg
"Bajaj Almond Drops Hair Oil, 625ml",6X Vitamin E Nourishment | Light and Non-Sticky Hair Oil For Hair Fall Control,300,4.3 out of 5 stars,"8,522",N/A,https://m.media-amazon.com/images/I/51ry4jEs3BL._AC_UL320_.jpg
Parachute Coconut Oil - 1,L Pet Jar,400,4.4 out of 5 stars,"38,320",N/A,https://m.media-amazon.com/images/I/71UAbfo2kjL._AC_UL320_.jpg
Parachute Advansed Jasmine Gold Coconut Hair Oil,"Vitamin-E For Super Shiny Hair, Non-sticky, 300ml",105,4.2 out of 5 stars,"3,747",N/A,https://m.media-amazon.com/images/I/61tp6+HeNvL._AC_UL320_.jpg
Parachute Coconut Oil 300 ml,- Bottle,154,4.4 out of 5 stars,"12,709",N/A,https://m.media-amazon.com/images/I/61dUCXFgN3L._AC_UL320_.jpg
Bajaj 100% Pure Coconut Oil 600ml,Made with Premium Grade 1 Quality Coconuts,171,4.3 out of 5 stars,"16,620",N/A,https://m.media-amazon.com/images/I/61h5Qf0-cZL._AC_UL320_.jpg
Bajaj Brahmi Amla Hair Oil,400ml,110,4.2 out of 5 stars,"4,848",N/A,https://m.media-amazon.com/images/I/51kayKcclzL._AC_UL320_.jpg
Parachute Advansed Aloe Vera Enriched Coconut Hair Oil Gold,5X Aloe Vera With Coconut Oil| Makes Hair Sooperr Soft | 400ml,168,4.2 out of 5 stars,"3,418",N/A,https://m.media-amazon.com/images/I/61zBoaAnBOL._AC_UL320_.jpg
Nihar Naturals Shanti Amla Badam Hair Oil,500ml,158,4.3 out of 5 stars,"4,736",N/A,https://m.media-amazon.com/images/I/61KsUm9ZjdL._AC_UL320_.jpg
Hair & Care Damage Repair Non-Sticky Hair Oil,"Aloe Vera, Olive Oil & Green Tea, 300 ml",150,4.3 out of 5 stars,"12,560",N/A,https://m.media-amazon.com/images/I/61tVBxDbJqL._AC_UL320_.jpg
Dabur Almond Hair Oil - 580ml(290ml*2),"Provides Damage Protection | Non Sticky Formula | For Soft & Shiny Hair | With Almonds, Keratin Protein, Soya Protein & 10X Vitamin E",219,4.2 out of 5 stars,"1,142",N/A,https://m.media-amazon.com/images/I/71wbtT5Hn7L._AC_UL320_.jpg
Soulflower Rosemary Lavender Hair Oil For Hair Growth,"Hair Fall Control, Healthy Scalp, Long Hair, Rosemary, Lavender, Castor|100% Pure, Natural, Organic, Clinically Proven for Hair Growth, 120ml",247,4.2 out of 5 stars,"18,911",N/A,https://m.media-amazon.com/images/I/61c3nrkiJyL._AC_UL320_.jpg
Parachute Advansed Bhringraj & Hibiscus,enriched Coconut Hair Oil| Reduces Hair Fall| Helps Promotes Hair Growth|Up to 10x Less Hair Fall|For Healthy Scalp For Men & Women| Thicker & Stronger Hair| Suitable for All Hair Types |300ml,150,4.1 out of 5 stars,574,N/A,https://m.media-amazon.com/images/I/619LuPrT+PL._AC_UL320_.jpg
Avimee Herbal Keshpallav Hair Oil For Men & Women,"Promotes Hair Growth & Reduces Hair Fall | With Rosemary, Castor, Amla, Coconut and Bhringraj Oil | Mineral Oil Free | 100 ml",523,3.9 out of 5 stars,"10,923",N/A,https://m.media-amazon.com/images/I/71o7M+qVh4L._AC_UL320_.jpg
Emami 7 Oils in One Hair Oil,"Makes Hair 20x Stronger and Manageable | Coconut Oil, Amla, Jojoba, Olive, Walnut, Argan & Almond Oils | 500 ML",223,4.2 out of 5 stars,"10,133",N/A,https://m.media-amazon.com/images/I/51iqcsi992L._AC_UL320_.jpg
Parachute Advansed Gold Vitamin E Coconut Hair Oil| Long & Soft Hair,For All Hair Type| No Paraben & Silicones| 300ml,149,4.4 out of 5 stars,68,N/A,https://m.media-amazon.com/images/I/61moAtbfDjL._AC_UL320_.jpg
Parachute Advansed Aloe Vera Enriched Coconut Hair Oil Gold,5X Aloe Vera | Makes Hair Sooperr Soft | 225ml,127,4.2 out of 5 stars,800,N/A,https://m.media-amazon.com/images/I/61aGjWoG0sL._AC_UL320_.jpg
Kesh King Ayurvedic Anti Hairfall Hair Oil,300ml,288,4.2 out of 5 stars,"19,513",N/A,https://m.media-amazon.com/images/I/71sctrfIIwL._AC_UL320_.jpg
Mamaearth Onion Hair Oil with Onion Oil & Redensyl for Hair Fall Control,Boosts Hair Growth | Adds Strength & Shine | 200 ml,373,4.0 out of 5 stars,"56,364",N/A,https://m.media-amazon.com/images/I/51xjmxVdz0L._AC_UL320_.jpg
Dabur Amla Hair Oil - 550 ml,"For Strong, Long and Thick hair | Nourishes Scalp | Controls Hair Fall, Strengthens Hair & Promotes Hair Growth",255,4.3 out of 5 stars,"18,577",N/A,https://m.media-amazon.com/images/I/612ArMxOW+L._AC_UL320_.jpg
Indulekha Bringha Ayurvedic Hair Oil 100 ml|| Hair Fall Control and Hair Growth,Bringharaj & Coconut Oil - Comb Applicator Bottle for Men & Women,345,4.1 out of 5 stars,"61,821",N/A,https://m.media-amazon.com/images/I/61IxF1ljJHL._AC_UL320_.jpg
Brillare Rosemary Oil For Rapid Hair Growth,"Improves Hair Thickness | Controls Hair Fall & Nourishes Scalp | 100% Natural, Non Greasy Hair Oil For Men & Women (100 ML)",202,4.1 out of 5 stars,336,N/A,https://m.media-amazon.com/images/I/51pe1YrMuVL._AC_UL320_.jpg
Mamaearth Rosemary Hair Growth Oil with Rosemary & Methi Dana for Promoting Hair Growth,Controls Hair Fall | Strengthens Hair | Stimulates New Hair Growth | Healthy Nourished Hair | 200 ml,373,4.1 out of 5 stars,"3,448",N/A,https://m.media-amazon.com/images/I/61LF5wtuagL._AC_UL320_.jpg
Parachute Advansed Gold Coconut Hair Oil,400 ml,199,4.3 out of 5 stars,"14,404",N/A,https://m.media-amazon.com/images/I/51oSwlCAkLL._AC_UL320_.jpg
NIDHI’S GRANDMAA SECRET 13 Herbs Hair Oil For Men & Women,Promotes Hair Growth & Reduces Hair Fall | Handmade Natural Hair Oil with Curry Leaves | Hair Fall Control Oil For Dry Damaged Hair | 100 mL,473,4.3 out of 5 stars,734,N/A,https://m.media-amazon.com/images/I/71EUlzSixnL._AC_UL320_.jpg
Parachute Advansed Ayurvedic Coconut Hair Oil,"For Hair Fall Control & Hair Growth | With Coconut & 25 Ayurvedic Herbs like Amla, Neem, Bhringraj, Brahmi, Methi etc | Clinically Proven to Reduce Hair Fall in 30 Days | 300ml",173,4.2 out of 5 stars,"10,713",N/A,https://m.media-amazon.com/images/I/61qkszG588L._AC_UL320_.jpg
"indē wild Champi Hair Oil (50 ml) with Rosemary Oil, Brahmi, Amla, and Bhringraj","Ayurvedic Hair Growth Oil for Dandruff, Hairfall, & Thicker, Fuller Hair | 16+ Ayurvedic Actives | Calming Fragrance",854,4.4 out of 5 stars,114,N/A,https://m.media-amazon.com/images/I/61qRwmmvMYL._AC_UL320_.jpg
Bare Anatomy Nature x Science Rosemary Hibiscus Hair Growth Oil for Women & Men,Promotes New Hair Growth & Strengthens Hair | Nourishes Scalp & Controls Hair Fall | Suitable for All Hair Types-100ml,229,4.2 out of 5 stars,282,N/A,https://m.media-amazon.com/images/I/51sUy+cAFRL._AC_UL320_.jpg
Nat Habit Hibiscus Amla Summer Hair Oil For Women & Men,"Helps In Hair Growth & Thickness, For All Hair Types, No Paraffin, Mineral Oil, Preservatives & Chemicals, 100ml",300,4.2 out of 5 stars,"1,630",N/A,https://m.media-amazon.com/images/I/613-IwkQe9L._AC_UL320_.jpg
Kerala Ayurveda Neelibhringadi Keram,"Hair Oil for Hair Growth | With Indigo, Bhringaraj & Amla | Triple Care Formula | 200ml",295,4.1 out of 5 stars,"11,125",N/A,https://m.media-amazon.com/images/I/71D9AFD9oBL._AC_UL320_.jpg
Parachute Coconut Oil 600 ml,- Bottle,251,4.4 out of 5 stars,"29,897",N/A,https://m.media-amazon.com/images/I/61dUCXFgN3L._AC_UL320_.jpg
Parachute Advansed Gold Keratin Coconut Hair Oil,Thick & Smooth Hair| No Paraben or Silicone | 300ml,149,4.4 out of 5 stars,56,N/A,https://m.media-amazon.com/images/I/619yK5RuXaL._AC_UL320_.jpg
Bajaj Almond Drops Hair Oil,"285ml, 6X Vitamin E, Almond Oil, Light and Non Sticky, Hair Fall Control",197,4.3 out of 5 stars,"4,949",N/A,https://m.media-amazon.com/images/I/517p82ysXaL._AC_UL320_.jpg
Dabur Almond Hair Oil,"Almonds, Soya Protein and Vitamin E for Non Sticky, Damage free Hair - 200ml",131,4.2 out of 5 stars,"1,739",N/A,https://m.media-amazon.com/images/I/71-ZWeSE8EL._AC_UL320_.jpg
Moroccanoil Treatment 100ml,N/A,"4,320",4.4 out of 5 stars,"81,724",N/A,https://m.media-amazon.com/images/I/61tRYoG1bHL._AC_UL320_.jpg
WOW Onion Black Seed Hair,Oil - Controls Hair Fall - No Mineral Oil & Silicones - 200mL,223,3.9 out of 5 stars,"59,524",N/A,https://m.media-amazon.com/images/I/61PXKNTZciL._AC_UL320_.jpg
Parachute Advansed Jasmine Coconut Hair Oil,500 ml,200,4.3 out of 5 stars,"3,695",N/A,https://m.media-amazon.com/images/I/61GFYl8OpHL._AC_UL320_.jpg
