Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL,Description
Muuchstac Ocean Face Wash for Men | Fight Acne & Pimples,"Brighten Skin, Clears Dirt, Oil Control, Refreshing Feel - Multi-Action Formula (2x100 ml)",208,3.9 out of 5 stars,"13,005",N/A,https://m.media-amazon.com/images/I/71M33O0-KyL._AC_UL320_.jpg,N/A
Garnier Men,"Face Wash, Brightening & Anti-Pollution, TurboBright Double Action, 100 g",174,4.3 out of 5 stars,"32,910",N/A,https://m.media-amazon.com/images/I/615gCt+GzCL._AC_UL320_.jpg,N/A
Garnier Men,"Anti-Pimple Face Wash, Repairs Skin & Balances Oils, AcnoFight, 100 g",161,4.3 out of 5 stars,"26,983",N/A,https://m.media-amazon.com/images/I/618jobvtmgL._AC_UL320_.jpg,N/A
Cetaphil Paraben,"Sulphate-Free Gentle Skin Hydrating Face Wash Cleanser with Niacinamide, Vitamin B5 for Dry to Normal, Sensitive Skin - 125 ml",398,4.3 out of 5 stars,"30,042",N/A,https://m.media-amazon.com/images/I/51O+J5jnXcL._AC_UL320_.jpg,N/A
BEARDO DeTan Face Wash for Men,"200ml | Coffee Facewash, Aloe Vera, Vitamin E | Helps to Reduce Tan | Exfoliates & Hydrates for Smooth & Oil Free Skin",270,4.0 out of 5 stars,"5,092",N/A,https://m.media-amazon.com/images/I/617TtFejmwL._AC_UL320_.jpg,N/A
NIVEA MEN Dark Spot Reduction Face Wash 100 g | With Ginko and Ginseng Extracts for Clean,Healthy & Clear Skin in Summer | 10 X Vitamin C Effect for Radiant Skin |For Dark Spot Reduction,139,4.2 out of 5 stars,"22,881",N/A,https://m.media-amazon.com/images/I/51YUhrYov7L._AC_UL320_.jpg,N/A
NIVEA MEN All in 1 Oil Control Face Wash,Prevents Acne | Removes excess oil and dirt | Reduces Blackheads and Whiteheads | Cooling Menthol | Unclogs & refines pores | 150ml,250,4.2 out of 5 stars,"17,624",N/A,https://m.media-amazon.com/images/I/51POpTT0iIL._AC_UL320_.jpg,N/A
Garnier Men Oil Clear Clay D-Tox Deep Cleansing Icy Face Wash,100gm,174,4.3 out of 5 stars,"12,860",N/A,https://m.media-amazon.com/images/I/613dw2AiEAL._AC_UL320_.jpg,N/A
Minimalist Anti-Acne Salicylic Acid 2% Face Wash For Oily & Acne Prone Skin | With LHA for Pore Cleansing,Oil Control & Sebum Regulation | Sulfate-Free Formula with Zinc for Gentle Exfoliation | Cleanser for Women & Men | 100 ml,284,4.2 out of 5 stars,"19,432",N/A,https://m.media-amazon.com/images/I/514PVblwPdL._AC_UL320_.jpg,N/A
Himalaya MEN Intense Oil Clear Lemon Face Wash,100ml,126,4.1 out of 5 stars,"2,098",N/A,https://m.media-amazon.com/images/I/71UvDMTAjlL._AC_UL320_.jpg,N/A
Beardo 3-in-1 Activated Charcoal Face Wash| Deep Cleanse,"Exfoliate & Detoxify | All-in-One Face Wash for Oily Skin, Dirt & Pollution Removal | Oil Control Face wash for men 200ml",318,4.0 out of 5 stars,"9,275",N/A,https://m.media-amazon.com/images/I/61ECCh12+kL._AC_UL320_.jpg,N/A
Bombay Shaving Company Charcoal Face Wash for Men,Anti Pollution and Brightening | Oil Control Face Wash For Men - 2 x 100g,215,4.0 out of 5 stars,"1,415",N/A,https://m.media-amazon.com/images/I/71niNu+JYlL._AC_UL320_.jpg,N/A
NIVEA MEN Deep Impact Face Wash 100g | With Black Carbon | Intense Clean,For Beard & Face | Removes Oil and Impurities,196,4.0 out of 5 stars,"9,016",N/A,https://m.media-amazon.com/images/I/51eBBB5Qm0L._AC_UL320_.jpg,N/A
The Derma Co Face Wash with 2% Salicylic Acid and 2% Niacinamide,Sali-Cinamide Anti-Acne Face Wash - 80ml,185,4.1 out of 5 stars,"5,375",N/A,https://m.media-amazon.com/images/I/510CTJ7HzeL._AC_UL320_.jpg,N/A
Himalaya Purifying Neem Face Wash,400 ml,287,4.3 out of 5 stars,"58,554",N/A,https://m.media-amazon.com/images/I/51tXjE2WQQL._AC_UL320_.jpg,N/A
DOT & KEY Vitamin C + E Super Bright Gel Face Wash For Glowing And Brightening Skin,All Skin Types|With Triple Vitamin C| Face Wash For Women & Men|100 Ml,224,4.2 out of 5 stars,"2,314",N/A,https://m.media-amazon.com/images/I/61OFfAjyX2L._AC_UL320_.jpg,N/A
Garnier Skin Naturals,"Facewash, Cleansing and Brightening, Bright Complete, 100 g",136,4.2 out of 5 stars,"11,060",N/A,https://m.media-amazon.com/images/I/61Vp0-XHx2L._AC_UL320_.jpg,N/A
WOW Skin Science MEN KOREAN GINSENG + KOJIC ACID Detan Face Wash Gel | Reduces Tan & Dark Spots | GinsengClear™ Technology | Gentle Exfoliation | No Sulphates,Parabens or Silicones | 100ml,235,4.4 out of 5 stars,70,N/A,https://m.media-amazon.com/images/I/51XFkzm807L._AC_UL320_.jpg,N/A
Dove Men+care oil control facewash for men,100ml,295,3.8 out of 5 stars,92,N/A,https://m.media-amazon.com/images/I/51f3ELFOq0L._AC_UL320_.jpg,N/A
The Man Company Activated Charcoal Face Wash for Men - 100ml | Exfoliating & Brightening Face Wash | Enriched with Ylang Ylang & Argan Essential Oils | Anti Pollution,Acne Oil Control | Deep Cleansing | Blackheads Removal,261,4.0 out of 5 stars,"4,445",N/A,https://m.media-amazon.com/images/I/519ql3Edf6L._AC_UL320_.jpg,N/A
