Product Name,Price (₹),Rating,Reviews,Product Link,Image URL,Description
Parachute Coconut Oil - 1 L Pet Jar,400,4.4 out of 5 stars,"38,285",N/A,https://m.media-amazon.com/images/I/71UAbfo2kjL._AC_UL320_.jpg,N/A
Parachute Coconut Oil 300 ml - Bottle,154,4.4 out of 5 stars,"12,685",N/A,https://m.media-amazon.com/images/I/61dUCXFgN3L._AC_UL320_.jpg,N/A
Parachute Advansed Rosemary-enriched Coconut Hair Oil| Rosemary Hair Oil| Superfoods Magic| Long & Thick Hair|300 Ml,160,4.2 out of 5 stars,"2,166",N/A,https://m.media-amazon.com/images/I/61jZRULdVuL._AC_UL320_.jpg,N/A
"Bajaj Almond Drops Hair Oil, 625ml | 6X Vitamin E Nourishment | Light and Non-Sticky Hair Oil For Hair Fall Control",300,4.3 out of 5 stars,"8,511",N/A,https://m.media-amazon.com/images/I/51ry4jEs3BL._AC_UL320_.jpg,N/A
"Parachute Advansed Jasmine Gold Coconut Hair Oil With Vitamin-E For Super Shiny Hair, Non-sticky, 300ml",105,4.2 out of 5 stars,"3,734",N/A,https://m.media-amazon.com/images/I/61tp6+HeNvL._AC_UL320_.jpg,N/A
Parachute Coconut Hair Oil 200 Ml Bottle,108,4.4 out of 5 stars,"3,200",N/A,https://m.media-amazon.com/images/I/71oYZHzpjSL._AC_UL320_.jpg,N/A
Parachute Advansed Aloe Vera Enriched Coconut Hair Oil Gold | 5X Aloe Vera With Coconut Oil| Makes Hair Sooperr Soft | 400ml,150,4.2 out of 5 stars,"3,410",N/A,https://m.media-amazon.com/images/I/61zBoaAnBOL._AC_UL320_.jpg,N/A
Bajaj Brahmi Amla Hair Oil 400ml,110,4.2 out of 5 stars,"4,841",N/A,https://m.media-amazon.com/images/I/51kayKcclzL._AC_UL320_.jpg,N/A
"Dabur Almond Hair Oil - 580ml(290ml*2) | Provides Damage Protection | Non Sticky Formula | For Soft & Shiny Hair | With Almonds, Keratin Protein, Soya Protein & 10X Vitamin E",219,4.2 out of 5 stars,"1,141",N/A,https://m.media-amazon.com/images/I/71wbtT5Hn7L._AC_UL320_.jpg,N/A
"Hair & Care Damage Repair Non-Sticky Hair Oil with Aloe Vera, Olive Oil & Green Tea, 300 ml",150,4.3 out of 5 stars,"12,556",N/A,https://m.media-amazon.com/images/I/61tVBxDbJqL._AC_UL320_.jpg,N/A
Parachute Advansed Almond enriched Coconut Hair Oil with Vitamin E 300ml|Nourishes & Softens Hair | Helps Control Hair Fall| Helps Promotes Hair Growth | Up to 2x Softer Hair|Non-Sticky Formula| Dermatologically-Tested Hair Oil | For Men & Women,120,4.1 out of 5 stars,532,N/A,https://m.media-amazon.com/images/I/61-93VOzlzL._AC_UL320_.jpg,N/A
Parachute Advansed Bhringraj & Hibiscus enriched Coconut Hair Oil| Reduces Hair Fall| Helps Promotes Hair Growth|Up to 10x Less Hair Fall|For Healthy Scalp For Men & Women| Thicker & Stronger Hair| Suitable for All Hair Types |300ml,150,4.1 out of 5 stars,572,N/A,https://m.media-amazon.com/images/I/619LuPrT+PL._AC_UL320_.jpg,N/A
"Nihar Naturals Shanti Amla Badam Hair Oil, 500ml",137,4.3 out of 5 stars,"4,729",N/A,https://m.media-amazon.com/images/I/61KsUm9ZjdL._AC_UL320_.jpg,N/A
"Soulflower Rosemary Mint Light Hair Oil | Hair Growth, Hair Fall Control, Dandruff & Split Ends | With Amla, Argan, Castor | Cooling Scalp Oil for Men & Women | 100% Natural & Organic | 225ml",199,4.2 out of 5 stars,"18,880",N/A,https://m.media-amazon.com/images/I/71zIcqkmsuL._AC_UL320_.jpg,N/A
"Avimee Herbal Keshpallav Hair Oil For Men & Women | Promotes Hair Growth & Reduces Hair Fall | With Rosemary, Castor, Amla, Coconut and Bhringraj Oil | Mineral Oil Free | 100 ml",523,3.9 out of 5 stars,"10,910",N/A,https://m.media-amazon.com/images/I/71o7M+qVh4L._AC_UL320_.jpg,N/A
Indulekha Bringha Ayurvedic Hair Oil 100 ml|| Hair Fall Control and Hair Growth with Bringharaj & Coconut Oil - Comb Applicator Bottle for Men & Women,397,4.1 out of 5 stars,"61,793",N/A,https://m.media-amazon.com/images/I/61IxF1ljJHL._AC_UL320_.jpg,N/A
Parachute Advansed Aloe Vera Enriched Coconut Hair Oil Gold | 5X Aloe Vera | Makes Hair Sooperr Soft | 225ml,127,4.2 out of 5 stars,799,N/A,https://m.media-amazon.com/images/I/61aGjWoG0sL._AC_UL320_.jpg,N/A
"Bajaj Almond Drops Hair Oil, 95ml | 6X Vitamin E Nourishment | Light and Non-Sticky Hair Oil For Hair Fall Control",55,4.4 out of 5 stars,"2,142",N/A,https://m.media-amazon.com/images/I/61sba4IXe2S._AC_UL320_.jpg,N/A
"Hair & Care Dry Fruit Oil with Walnuts, Almonds & Vitamin E| Reduce Haifall |Stronger & Silkier Hair | 500 ml + 200ml Free",190,4.2 out of 5 stars,"3,288",N/A,https://m.media-amazon.com/images/I/612M7p2AswL._AC_UL320_.jpg,N/A
Parachute Coconut Oil 600 ml - Bottle,251,4.4 out of 5 stars,"29,881",N/A,https://m.media-amazon.com/images/I/61dUCXFgN3L._AC_UL320_.jpg,N/A
"Dabur Amla Hair Oil - 550 ml | For Strong, Long and Thick hair | Nourishes Scalp | Controls Hair Fall, Strengthens Hair & Promotes Hair Growth",228,4.3 out of 5 stars,"18,572",N/A,https://m.media-amazon.com/images/I/612ArMxOW+L._AC_UL320_.jpg,N/A
"Parachute Advansed Gold Coconut Hair Oil, 400 ml",199,4.3 out of 5 stars,"14,401",N/A,https://m.media-amazon.com/images/I/51oSwlCAkLL._AC_UL320_.jpg,N/A
Mamaearth Rosemary Hair Growth Oil with Rosemary & Methi Dana for Promoting Hair Growth | Controls Hair Fall | Strengthens Hair | Stimulates New Hair Growth | Healthy Nourished Hair | 200 ml,373,4.1 out of 5 stars,"3,439",N/A,https://m.media-amazon.com/images/I/61LF5wtuagL._AC_UL320_.jpg,N/A
"Kesh King Ayurvedic Anti Hairfall Hair Oil, 300ml",430,4.2 out of 5 stars,"19,506",N/A,https://m.media-amazon.com/images/I/71sctrfIIwL._AC_UL320_.jpg,N/A
Parachute Advansed Gold Vitamin E Coconut Hair Oil| Long & Soft Hair | For All Hair Type| No Paraben & Silicones| 300ml,149,4.4 out of 5 stars,61,N/A,https://m.media-amazon.com/images/I/61moAtbfDjL._AC_UL320_.jpg,N/A
"Dabur Almond Hair Oil with Almonds, Soya Protein and Vitamin E for Non Sticky, Damage free Hair - 200ml",131,4.2 out of 5 stars,"1,734",N/A,https://m.media-amazon.com/images/I/71-ZWeSE8EL._AC_UL320_.jpg,N/A
"L'Oreal Paris Serum, Protection and Shine, For Dry, Flyaway & Frizzy Hair, With 6 Rare Flower Oils, Extraordinary Oil, 100ml",561,4.3 out of 5 stars,"37,489",N/A,https://m.media-amazon.com/images/I/61GGg1vs3DL._AC_UL320_.jpg,N/A
"Bajaj Almond Drops Hair Oil, 285ml, 6X Vitamin E, Almond Oil, Light and Non Sticky, Hair Fall Control",181,4.3 out of 5 stars,"4,947",N/A,https://m.media-amazon.com/images/I/517p82ysXaL._AC_UL320_.jpg,N/A
"Parachute Advansed Ayurvedic Coconut Hair Oil | For Hair Fall Control & Hair Growth | With Coconut & 25 Ayurvedic Herbs like Amla, Neem, Bhringraj, Brahmi, Methi etc | Clinically Proven to Reduce Hair Fall in 30 Days | 300ml",168,4.2 out of 5 stars,"10,711",N/A,https://m.media-amazon.com/images/I/61qkszG588L._AC_UL320_.jpg,N/A
"Neelibringadi Keram Ayurvedic Hair Oil - Triple Care Formula - Minimizes Hair Fall and Dandruff | Rebalances Scalp for rich, lustrous hair | Improves Hair Growth, Nourishes Hair Follicles| 200ml",297,4.1 out of 5 stars,"11,118",N/A,https://m.media-amazon.com/images/I/71D9AFD9oBL._AC_UL320_.jpg,N/A
"Parachute Advansed Aloe Vera Enriched Coconut Hair Oil, 400 ml | For Soft, Strong Hair",199,4.3 out of 5 stars,"6,060",N/A,https://m.media-amazon.com/images/I/61MLNs-Q35L._AC_UL320_.jpg,N/A
"Kama Ayurveda Bringadi Intensive Hair Treatment Oil, 200ml(Hair Oil)","1,595",4.1 out of 5 stars,"5,502",N/A,https://m.media-amazon.com/images/I/612s5ey5ikL._AC_UL320_.jpg,N/A
Dabur Anmol Gold 100 % Pure Coconut Oil - 1L | Natural | Nariyal Tel | Handpicked Sundried Coconuts | Multipurpose Oil,305,4.3 out of 5 stars,"13,494",N/A,https://m.media-amazon.com/images/I/718hz7QzLCL._AC_UL320_.jpg,N/A
"Bajaj Almond Drops Hair Oil, 190ml, 6X Vitamin E, Almond Oil, Light and Non Sticky, Hair Fall Control",145,4.2 out of 5 stars,"1,167",N/A,https://m.media-amazon.com/images/I/51NGlnvYktL._AC_UL320_.jpg,N/A
Bajaj 100% Pure Coconut Oil 300ml | Made with Premium Grade 1 Quality Coconuts,123,4.2 out of 5 stars,48,N/A,https://m.media-amazon.com/images/I/61h5Qf0-cZL._AC_UL320_.jpg,N/A
"Dabur Almond Hair Oil - 500ml | Provides Damage Protection | Non Sticky Formula | For Soft & Shiny Hair | With Almonds, Keratin Protein, Soya Protein & 10X Vitamin E",244,4.2 out of 5 stars,"12,790",N/A,https://m.media-amazon.com/images/I/71NuWKR2zRL._AC_UL320_.jpg,N/A
Mamaearth Onion Hair Oil with Onion Oil & Redensyl for Hair Fall Control | Boosts Hair Growth | Adds Strength & Shine | 200 ml,373,4.0 out of 5 stars,"56,346",N/A,https://m.media-amazon.com/images/I/51xjmxVdz0L._AC_UL320_.jpg,N/A
"Nat Habit Hibiscus Amla Summer Hair Oil For Women & Men, Helps In Hair Growth & Thickness, For All Hair Types, No Paraffin, Mineral Oil, Preservatives & Chemicals, 100ml",300,4.2 out of 5 stars,"1,627",N/A,https://m.media-amazon.com/images/I/613-IwkQe9L._AC_UL320_.jpg,N/A
"Brillare Rosemary Oil For Rapid Hair Growth | Improves Hair Thickness | Controls Hair Fall & Nourishes Scalp | 100% Natural, Non Greasy Hair Oil For Men & Women (100 ML)",328,4.1 out of 5 stars,333,N/A,https://m.media-amazon.com/images/I/51pe1YrMuVL._AC_UL320_.jpg,N/A
"Emami 7 Oils in One Hair Oil | Makes Hair 20x Stronger and Manageable | Coconut Oil, Amla, Jojoba, Olive, Walnut, Argan & Almond Oils | 200ml",135,4.2 out of 5 stars,"10,111",N/A,https://m.media-amazon.com/images/I/61x7ZqP-zlL._AC_UL320_.jpg,N/A
"vilvah STORE Hair Oil With Black Seed Oil Extracts Reduces Hair Fall and Rejuvenate Hair and Scalp -100% Natural Oils - Vitamin E, 200ml","1,180",4.2 out of 5 stars,391,N/A,https://m.media-amazon.com/images/I/51eNB5NBR0L._AC_UL320_.jpg,N/A
"Bajaj Almond Drops Hair Oil, 475ml, 6X Vitamin E, Almond Oil, Light and Non-Sticky, Hair Fall Control.",304,4.3 out of 5 stars,"9,017",N/A,https://m.media-amazon.com/images/I/51mSQQyEHZL._AC_UL320_.jpg,N/A
Bare Anatomy Nature x Science Rosemary Hibiscus Hair Growth Oil for Women & Men | Promotes New Hair Growth & Strengthens Hair | Nourishes Scalp & Controls Hair Fall | Suitable for All Hair Types-100ml,229,4.2 out of 5 stars,277,N/A,https://m.media-amazon.com/images/I/51sUy+cAFRL._AC_UL320_.jpg,N/A
"indē wild Champi Hair Oil (50 ml) with Rosemary Oil, Brahmi, Amla, and Bhringraj | Ayurvedic Hair Growth Oil for Dandruff, Hairfall, & Thicker, Fuller Hair | 16+ Ayurvedic Actives | Calming Fragrance",854,4.3 out of 5 stars,110,N/A,https://m.media-amazon.com/images/I/61qRwmmvMYL._AC_UL320_.jpg,N/A
"Bhumika Vedics Herbal Hair Oil For Men & Women | Promotes Hair Growth & Reduces Hair Fall | With Indigofera,Aloe vera,Neem, Amla, Bhringraj and Coconut Oil 200 ml",617,4.0 out of 5 stars,595,N/A,https://m.media-amazon.com/images/I/51LR1bWtz7L._AC_UL320_.jpg,N/A
"Dabur Castor Oil - 200ml | 100% Natural Cold Pressed Oil | Promotes Hair Growth, Hydrates Skin & Reduces Wrinkles | No Mineral Oil & Silicones",203,4.2 out of 5 stars,"6,528",N/A,https://m.media-amazon.com/images/I/71lt7wHjFmL._AC_UL320_.jpg,N/A
"Navratna Ayurvedic Cool Oil | Combination of 9 Ayurvedic Herbs | Relieves Headache, Body ache, Tiredness, Sleeplessness & Tension| Improves Scalp Health | Relaxing & Rejuvenating cooling effect, 300ml",214,4.3 out of 5 stars,"7,857",N/A,https://m.media-amazon.com/images/I/71X3ryvPdQL._AC_UL320_.jpg,N/A
"Dabur Amla Hair Oil - 550ml (Pack of 3) | For Strong, Long and Thick hair | Nourishes Scalp | Controls Hair Fall, Strengthens Hair & Promotes Hair Growth",869,4.2 out of 5 stars,"2,520",N/A,https://m.media-amazon.com/images/I/71OQz6-v3EL._AC_UL320_.jpg,N/A
Biotique Bio Bhringraj Therapeutic Hair Oil for Falling Hair | Intensive Hair Regrowth Treatment | Nourishing Hair Follicles| Strong and Shiny Hair| For All Skin Types| 120m,144,4.0 out of 5 stars,"28,373",N/A,https://m.media-amazon.com/images/I/41RE9CCYNJL._AC_UL320_.jpg,N/A
NIDHI’S GRANDMAA SECRET 13 Herbs Hair Oil For Men & Women | Promotes Hair Growth & Reduces Hair Fall | Handmade Natural Hair Oil with Curry Leaves | Hair Fall Control Oil For Dry Damaged Hair | 100 mL,473,4.3 out of 5 stars,730,N/A,https://m.media-amazon.com/images/I/71EUlzSixnL._AC_UL320_.jpg,N/A
"Dabur Amla Hair Oil - 90ml, Bottle",53,4.2 out of 5 stars,153,N/A,https://m.media-amazon.com/images/I/61GC9DwsN2L._AC_UL320_.jpg,N/A
