Product Name,Price (₹),Rating,Reviews,Product Link,Image URL,Description
"HP 15, AMD Ryzen 3 7320U Laptop (8GB LPDDR5, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm,FHD, Win 11, Silver, 1.59kg, AMD Radeon Graphics, 1080p HD Camera, fc0154AU","29,990",4.0 out of 5 stars,"1,623",N/A,https://m.media-amazon.com/images/I/719OMbh40jL._AC_UY218_.jpg,N/A
"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5006tu","33,990",4.0 out of 5 stars,"1,482",N/A,https://m.media-amazon.com/images/I/71+gQ9gOTuL._AC_UY218_.jpg,N/A
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, fc0156AU","40,990",3.3 out of 5 stars,63,N/A,https://m.media-amazon.com/images/I/710mh0SzbHL._AC_UY218_.jpg,N/A
HP 255 G10 Laptop (AMD Athlon Silver 7120U/ 8GB RAM / 256GB SSD/Windows 11/15.6 INCH ASH Silver,"23,190",3.6 out of 5 stars,19,N/A,https://m.media-amazon.com/images/I/71rw7cd14mL._AC_UY218_.jpg,N/A
"HP 15 Laptop,13th Gen Intel Core i7-1355U Laptop(16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6"" FHD, Win11, M365 Basic(1yr),MSOffice 2024,Silver,1.59kg, Iris Xe, Camera w/Shutter,FPR, fd0515TU","67,990",5.0 out of 5 stars,6,N/A,https://m.media-amazon.com/images/I/71+mpbHMDgL._AC_UY218_.jpg,N/A
"HP 15, 13th Gen Intel Core i3-1315U Laptop (12GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0573TU","39,490",3.0 out of 5 stars,8,N/A,https://m.media-amazon.com/images/I/71nT03DWAHL._AC_UY218_.jpg,N/A
"HP 15, 13th Gen Intel Core i5-1335U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/privacy shutter, fd0577TU","56,990",3.3 out of 5 stars,14,N/A,https://m.media-amazon.com/images/I/71bagLp2sXL._AC_UY218_.jpg,N/A
"HP 15 AMD Ryzen 3 7320U (8GB Ram/512GB SSD/Fhd/15.6"" (39.6 Cm)/Backlit Keyboard/Windows 11/Ms Office 21/1.59Kg/Silver) Fc0026Au Laptop","31,990",4.1 out of 5 stars,"1,311",N/A,https://m.media-amazon.com/images/I/61Ja6Xa4QaL._AC_UY218_.jpg,N/A
"HP 15s, 12th Gen Intel Core i5-1235U,16GB DDR4, 512GB SSD (Win11, Office21, Silver, 1.69kg) Anti-Glare,15.6-inch(39.6cm), FHD Laptop, Intel Iris Xe Graphics, Backlit KB, HD Camera, fq5330TU","48,800",3.9 out of 5 stars,452,N/A,https://m.media-amazon.com/images/I/71mufQFK6wL._AC_UY218_.jpg,N/A
"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1315U - (8GB/512GB SSD/Intel UHD Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Ash Grey/1.57 kg","32,149",4.0 out of 5 stars,37,N/A,https://m.media-amazon.com/images/I/71Z8mjuvGmL._AC_UY218_.jpg,N/A
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU","36,290",3.8 out of 5 stars,213,N/A,https://m.media-amazon.com/images/I/6179wxBERlL._AC_UY218_.jpg,N/A
