Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL,Description
Bata,N/A,"1,288",3.9 out of 5 stars,"1,102",N/A,https://m.media-amazon.com/images/I/514N4bUR79L._AC_UL320_.jpg,N/A
ASIAN,N/A,599,3.9 out of 5 stars,"104,418",N/A,https://m.media-amazon.com/images/I/61utX8kBDlL._AC_UL320_.jpg,N/A
Campus,N/A,809,4.2 out of 5 stars,"2,874",N/A,https://m.media-amazon.com/images/I/61XwYMOyfwL._AC_UL320_.jpg,N/A
ASIAN,N/A,719,3.7 out of 5 stars,"1,774",N/A,https://m.media-amazon.com/images/I/71ivYMOzncL._AC_UL320_.jpg,N/A
Puma,N/A,"1,749",3.9 out of 5 stars,"7,367",N/A,https://m.media-amazon.com/images/I/51GOpp8rAJL._AC_UL320_.jpg,N/A
Campus,N/A,"1,449",4.4 out of 5 stars,154,N/A,https://m.media-amazon.com/images/I/61giDAMYkGL._AC_UL320_.jpg,N/A
ASIAN,N/A,799,3.4 out of 5 stars,967,N/A,https://m.media-amazon.com/images/I/713G8fax-4L._AC_UL320_.jpg,N/A
LANCER,N/A,579,3.6 out of 5 stars,"4,726",N/A,https://m.media-amazon.com/images/I/61RFlIUeaIL._AC_UL320_.jpg,N/A
Centrino,N/A,799,3.8 out of 5 stars,"7,824",N/A,https://m.media-amazon.com/images/I/71I8S-yPG+L._AC_UL320_.jpg,N/A
Woodland,N/A,"2,004",4.0 out of 5 stars,181,N/A,https://m.media-amazon.com/images/I/71JklJfFchL._AC_UL320_.jpg,N/A
Nivia,N/A,"1,014",3.9 out of 5 stars,280,N/A,https://m.media-amazon.com/images/I/71074fZToFL._AC_UL320_.jpg,N/A
adidas,N/A,"1,832",3.8 out of 5 stars,636,N/A,https://m.media-amazon.com/images/I/71Pp9HxRfsL._AC_UL320_.jpg,N/A
Reebok,N/A,"1,539",3.9 out of 5 stars,"3,062",N/A,https://m.media-amazon.com/images/I/71dGLtr+1mL._AC_UL320_.jpg,N/A
Woodland,N/A,"2,471",3.8 out of 5 stars,"2,093",N/A,https://m.media-amazon.com/images/I/81-wIKQeHRL._AC_UL320_.jpg,N/A
Campus,N/A,"1,599",4.5 out of 5 stars,74,N/A,https://m.media-amazon.com/images/I/61rSOKoLhyL._AC_UL320_.jpg,N/A
Campus,N/A,799,4.1 out of 5 stars,"22,626",N/A,https://m.media-amazon.com/images/I/61Anv0lBjRL._AC_UL320_.jpg,N/A
Reebok,N/A,"1,486",3.9 out of 5 stars,"4,173",N/A,https://m.media-amazon.com/images/I/51MuYbbzjgL._AC_UL320_.jpg,N/A
Bata,N/A,499,3.6 out of 5 stars,788,N/A,https://m.media-amazon.com/images/I/51zA3Xl-12L._AC_UL320_.jpg,N/A
