Product Name,Product Features,Price (₹),Rating,Reviews,Product Link,Image URL,Description
SPARX,N/A,290,4.1 out of 5 stars,"50,505",N/A,https://m.media-amazon.com/images/I/51p0u1pv2DL._AC_UL320_.jpg,N/A
FLITE,N/A,269,3.9 out of 5 stars,"52,184",N/A,https://m.media-amazon.com/images/I/71Z9XdlDzjL._AC_UL320_.jpg,N/A
Kraasa,N/A,299,4.4 out of 5 stars,90,N/A,https://m.media-amazon.com/images/I/71oFITJVMyL._AC_UL320_.jpg,N/A
Liberty,N/A,349,3.9 out of 5 stars,"3,589",N/A,https://m.media-amazon.com/images/I/51-Gi5wwoxL._AC_UL320_.jpg,N/A
Bata,N/A,471,4.1 out of 5 stars,733,N/A,https://m.media-amazon.com/images/I/51vW9hK2ghL._AC_UL320_.jpg,N/A
Bata,N/A,299,4.2 out of 5 stars,"10,840",N/A,https://m.media-amazon.com/images/I/51f2pRaJ+xL._AC_UL320_.jpg,N/A
Puma,N/A,949,3.9 out of 5 stars,"2,912",N/A,https://m.media-amazon.com/images/I/51-nmbM-qvL._AC_UL320_.jpg,N/A
Bata,N/A,339,3.8 out of 5 stars,"2,348",N/A,https://m.media-amazon.com/images/I/71RVHbkPHHL._AC_UL320_.jpg,N/A
Dr.Ortho,N/A,299,4.1 out of 5 stars,"3,817",N/A,https://m.media-amazon.com/images/I/61ZnXFN61hL._AC_UL320_.jpg,N/A
Hygear,N/A,336,3.9 out of 5 stars,"4,121",N/A,https://m.media-amazon.com/images/I/61pBOCruYNL._AC_UL320_.jpg,N/A
Puma,N/A,999,3.8 out of 5 stars,839,N/A,https://m.media-amazon.com/images/I/319KWRoOy2L._AC_UL320_.jpg,N/A
SPARX,N/A,306,4.2 out of 5 stars,"3,492",N/A,https://m.media-amazon.com/images/I/51DXCtrdijL._AC_UL320_.jpg,N/A
Puma,N/A,849,3.6 out of 5 stars,"39,273",N/A,https://m.media-amazon.com/images/I/41yjsNb0X4L._AC_UL320_.jpg,N/A
Bata,N/A,387,3.9 out of 5 stars,"4,328",N/A,https://m.media-amazon.com/images/I/51QMSR9a9lL._AC_UL320_.jpg,N/A
Bata,N/A,524,4.1 out of 5 stars,813,N/A,https://m.media-amazon.com/images/I/41Oz+cwSA8L._AC_UL320_.jpg,N/A
Bata,N/A,795,3.9 out of 5 stars,"2,803",N/A,https://m.media-amazon.com/images/I/512z06PQjXL._AC_UL320_.jpg,N/A
